node_id,labels,name,node_type,article_id,segment_id,title,text
segment_f50da9ddb4b8a7bf,Segment,吴稚晖_000_7d60d047_s0007,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0007,,"？胡适之是拿六经三史做了招牌，实在是要骗他们读《七侠五义》。梁先生上了他的当，竟老实的傻气出来，把青年堆在灰字篦里，梁先生自己睡了想想，也算得上一个笨伯罢？

章太炎的考据，定也不算丢丑。他那《章氏丛书》里几种小品，可以充得传作。但他要把那灰字麓的东西，对青年做一个新系统的传达，他就糟了。去年在江苏省教育会的讲演，我在伦敦看《民国日报》《觉悟》所载，我替他短气。乃现在还被什么书坊刻了出来，真是他老年的污点。梁先生必定也替他难过。人已对照，便能觉悟那种灰色的书目，是一种于人大不利，于学无所明的东西了。

从前张小浦说得好：“倘真正是国粹，何必急急去保？二千年以来，定孔孟为一尊，斥老墨为异端，排除无所不至，然而老墨之书至今光景长新。”所以在三十年内姑且尽着梁先生等几个少数学者，抱残守缺，已经足够，不必立什么文化学院，贻害多数青年；更不必叫出洋学生带了许多线装书出去，成一个废物而归。充其量都成了胡适之、胡先骕诸位先生，也不过做一个洋八股的创造人而已。少数的胡适之、胡先骕原是要的，不幸梁先生要大批的造，不幸又有最高等的学者张君劢先生出来做护法，使他繁殖。因此，同张先生反抗，并词连了梁先生。

---"
segment_e3c9935ecb688419,Segment,吴稚晖_001_b4c0e810_s0000,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0000,,"### 小引

我做这篇文章，是拿着乡下老头儿靠在“柴积”上，晒“日黄”，说闲空的态度，来点化我，超度我，解释我自己的一霎那的。我固然不配讲什么哲理，我老实也很谬妄的看不起那配式子，搬字眼，弄得自己也头昏脑胀的哲学。他的结局，止把那麻醉性的呓语，你偏我，我偏你，又加上好名词，叫他是超理智的玄谈；你敬我，我敬你，叫做什么佛学，什么老学，什么孔学、道学，什么希腊派，什么经院派，什么经验派，理性派，批判派等等，串多少把戏，掉多少枪花。他的起初，想也不过求个满意的信仰。跟手，变成了“学”。一变成了学，便必定容易忘了本旨，止在断烂朝报中，将自己的式子同别人的式子斗宝，将自己的字眼同别人的字眼炫博。学固然是学了。学者固然是学者了。问他为什么串那许多把戏，掉那许多枪花，也就不如靠在柴积上的日黄中无责任的闲空白嚼了出来，倒干脆一点了。所以有人对我说，德国人讥诮哲学家，常说“哲学是把做成系统（所谓式子）的话，去妄用他的名词（所谓字眼）的”。这固然是言之太过，然形容哲学家闹得人太凶，不能叫人简单了解，存心摆他学者的臭架子，也是有几分实情的。

但是，从又一方面讲来，我的对于学者，颇能懂得应该要加个相当敬礼。其词若有憾焉，其实乃深喜之。我知道“虽善无征，无征不信，虽善不尊，不尊不信”，学者要维持一点门面，不能卤莽灭裂，在柴积上日黄中，把无责任的瞎嚼蛆，乱喷出来，求一时的痛快，遗无穷的笑柄。"
segment_deb9c32e3a6b4e1a,Segment,吴稚晖_001_b4c0e810_s0001,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0001,,"之。我知道“虽善无征，无征不信，虽善不尊，不尊不信”，学者要维持一点门面，不能卤莽灭裂，在柴积上日黄中，把无责任的瞎嚼蛆，乱喷出来，求一时的痛快，遗无穷的笑柄。学者非但不肯干，也不应干。故止好说了半句，留了半句，耐耐性性的经过几百年几千年，经过几十个学者几百个学者，才一点一点的愈加分明出来。于是有的东西，在从前，圣人也糊涂的，到如今，柴积上日黄中的老头儿也知觉了，还有连现在的圣人也懂不来的，自然现在柴积上日黄中的老头儿更梦也不曾做着，又止好让学者摆起臭架子，乌烟瘴气地去整理整理，整理了再千百年，再叫往后柴积上日黄中的老头儿看做平常。这种逃不过的麻烦，我也是懂的。然因为如此，我这篇文章，也就有“予不得已”的气概，把“谊不容辞”的责任心，强迫着写了出来。

第一理由是简单的：就是为那无责任的痛快瞎嚼蛆，不免遗着无穷笑柄的闲谈天，止有柴积上日黄中的老头儿，也懂不得难为情，可一说径出的。

第二理由是繁复的：积了无穷学者，一个明白过一个，才在绵延的历程中有个比较的明白。这也就是我肯崇拜学者的惟一缘故。故学者的后胜于前，并不是后人聪明才力一定过于前人，止是许多前人代他积了智识，他容易暴露。所以好像如梁卓如、梁漱溟两位先生在任何一方面，都超过我们的孔二先生。并且也是孔二先生在天之灵（聊尔云云）愿意“他俩”胜过“他老”的呀。"
segment_37c76fc37205bffc,Segment,吴稚晖_001_b4c0e810_s0002,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0002,,代他积了智识，他容易暴露。所以好像如梁卓如、梁漱溟两位先生在任何一方面，都超过我们的孔二先生。并且也是孔二先生在天之灵（聊尔云云）愿意“他俩”胜过“他老”的呀。因为世上没有一个父亲不盼望儿子“跨灶”，没有一个师父不愿意徒弟“青出于蓝而胜于蓝”。若偏是孔二先生妒忌有胜过他的两个梁家小后生，那中国止好一代不如一代，这无异说中国人将由痴愚而禽兽，禽兽而蛆虫，止剩他巍巍然高坐大成殿上，他老也有什么显焕呢？他从一贯而大同，好像他的教育，立能化腐臭为神奇。然教了二千几百年，止是愈教愈劣，便是两位梁先生数年前自称一个触斗已跳出十万八千里者，现在承认还是在他手掌之中，这又无异承认这位“走方郎中”止是说嘴卖假药，并无起死回生的本领，所以对他愈加佩服，无异把他的教育招牌投入毛厕，撕破他的假面。两位梁先生自己个人的谦光，自是美德。最好笑的，众口一词，物质文明掀起了此番大战。此番大战乃是空前的大战（好笑），又是最后的大战（更好笑）。所以有个甚滑稽的罗素，信口胡扯，一面发发自己的牢骚，一面拍拍我们的马屁，口气之中，似乎要决意舍了他欧洲的物质文明，来寻我们“中国的精神文明”。（罗素是滑稽已极的滑稽，他胸中是雪亮的。然欧洲像他那样口气的傻子，真也不止一人，无非止是奥肉麻的牢骚。
segment_9fe873cb4d47e5dc,Segment,吴稚晖_001_b4c0e810_s0003,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0003,,"乎要决意舍了他欧洲的物质文明，来寻我们“中国的精神文明”。（罗素是滑稽已极的滑稽，他胸中是雪亮的。然欧洲像他那样口气的傻子，真也不止一人，无非止是奥肉麻的牢骚。）于是吹入我们素有夸大狂，喜欢摆空架子，而又久失体面的朋友们耳朵里来了，这种恭维，无异雪中送炭，自然不知不觉，感动入骨，相信入骨，也把自己催眠起来。纵使两位梁先生的文化学院曲阜大学，在理都是可有，而且应有，但似乎太早了一点。恰恰好像帮助万恶的旧习惯，战胜新生命，替孔二先生的大吃牛肉，加写了一张保单，却恰恰把他老人家子孙的饭碗，无意中可以一齐敲破。因此我这篇文章的直觉信仰，也或者间接的对于最近中国思潮，献着一点号泣而谏的愚诚。

### 新信仰

大家都说，“凡人不会无信仰。”这是对的。有人说，“人人有个信仰，便是人人有个宗教，信仰便是宗教。”这是不对。这是名词上向来太笼统的谬误。古代把一切哲学、伦理学、教育学、美学等皆混合于宗教，现在他们一一脱离了宗教，自己独立起来，宗教亦没有话说。宗教的范围，就自然的缩小。但现在还不曾立一个信仰学，把宗教附属在他底下，毕竟仍让宗教一名词代表了一切信仰，反把种种非宗教的信仰隶属在宗教学，惹得多数学问家而非宗教家的，常说宗教可以不信，宗教学殊有研究之价值。其实彼所谓宗教学，即指信仰学的全部。故宗教一名词，最好严格的限制了以神为对象。这又是宗教家求仁得仁，最所赞同。"
segment_aa991dea1ebbce2c,Segment,吴稚晖_001_b4c0e810_s0004,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0004,,"宗教家的，常说宗教可以不信，宗教学殊有研究之价值。其实彼所谓宗教学，即指信仰学的全部。故宗教一名词，最好严格的限制了以神为对象。这又是宗教家求仁得仁，最所赞同。本来若将许多无神的信仰，羼入宗教学，虽是学问家所许，必非宗教家所乐。所以真要清楚，顶好是立一信仰学的名词，把宗教学管领了起来，其式如左：

（此处原文有图式，略）

如此，信仰学是学问家所当研究。彼所管领的宗教学，宗教家固在必应研究之列，即非宗教家为其有人类进化史上相当价值，亦极可研究。

闲话少说，我所谓“新信仰的宇宙观及人生观”，不过说这个宇宙观及人生观，并非哲学家的宇宙观人生观，乃是柴积上日黄中乡下老头儿信仰中的宇宙观人生观。这个信仰是一个新信仰，非同“虔城隍拜土地”宗教式的旧信仰。然未下这解释时，我又怕把这新信仰三字标了出来，避开哲学范围，终竟被讲信仰学的先生们拉进宗教区域，那未免驴头不对了马嘴，故表明几句。

### 宇宙观

举现象世界、精神世界、万有世界、（有）没有世界、（无）适用时间空间的、不适用时间空间的、顺理成章的、往来矛盾的、能直觉的、不能直觉的，合成一个东西，强加名言，或名日本体，又曰一切根源。照我合成的成分而说，既应统括万有及没有，……则又有所谓“一个”，所谓“本体”，所谓“根源”，下这样的具体名词，自然于理论为极不可通。"
segment_5ec81eb8bd830c77,Segment,吴稚晖_001_b4c0e810_s0005,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0005,,"，或名日本体，又曰一切根源。照我合成的成分而说，既应统括万有及没有，……则又有所谓“一个”，所谓“本体”，所谓“根源”，下这样的具体名词，自然于理论为极不可通。然我拿玄谈家滑稽的老把戏来做回答，可说照我上面的界说，理论自身，配算什么一个东西；既明白的指出包括“往来矛盾”，便也何妨有所谓“本体”等等，不合理论的矛盾。若迁就理论，做一个老实的回答，就是由我执笔而写，我即万有的一分子。写了要诸君赐看，诸君又不过是万有的一分子。我能写，你能看，便非用个名词不可。到了我们超入没有我们，自然用不着名词，我也用不着写，也没有诸君要看，更定然没有这篇文章。自然而然，便没有这种“一个”呀，“本体”呀，“根源”呀等的名词了。现在姑且用了他们，好在柴积上日黄中嚼着白蛆。

如是，放之则弥六合，变为万有，是这一个；卷之则退藏于密，变为没有，也是这一个。（凡此文偶引成语，皆取其恰合下笔时之论调而已，非有心表示同意。因我此文，止表示个人信仰，非所以言学。不敢诬古人拉偶象，在柴积上扎彩。）陈老古董所谓万物有生，原质是风水地火，或金木水火土，是这一个。新西洋景所谓绵延创化，是片断而非整个，止有真时，并无空间，也是这一个。所以不消说得，煤油大王家的哲学主义，名叫实验，吴稚晖拚命做这文章，鼓吹物质，是这一个。就是那低眉菩萨的涅槃，悲观少年的虚无，也是这一个。"
segment_240ddd1c36d6f102,Segment,吴稚晖_001_b4c0e810_s0006,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0006,,"，并无空间，也是这一个。所以不消说得，煤油大王家的哲学主义，名叫实验，吴稚晖拚命做这文章，鼓吹物质，是这一个。就是那低眉菩萨的涅槃，悲观少年的虚无，也是这一个。我不管什么叫做无极太极道妙真如，又不管一元多元玄元灵子，我止晓得逼住了我，最后定说到“一个”。

先要插说紧要而又不相干的几句。我这篇文章，也可以如丁在君先生的说法（丁先生《玄学与科学》一文见《努力周报》），的确是玄学鬼附在我身上说的。然而我敢说附在我身上的玄学鬼，他是受过科学神的洗礼的。这种玄学鬼一定到世界末日，可以存在，不受孔德排斥的。附在我身上的玄学鬼，没有附在张君劢先生身上的那种“无赖”。他不敢说到“初无论理学之公例以限制之，无所谓定义，无所谓方法”。他止想要求科学神占领的区域，把丁先生所谓可知道的，占领了去。可知道区域里假设，尽科学神用论理去假设着。把那丁先生所谓不可知的区域，剩下了，让给玄学鬼占领了。不可知区域里的假设，责成玄学鬼也带着论理色采去假设着。虽这种带些论理色采的玄学鬼，必定被那“大摇大摆”的鬼同胞，笑着矛盾，笑着浅薄，但因为他能竭力要想帮科学神的忙，所以闹这个玄谎，也便定可免得丁先生的一“打”。

第一便要在这插说中交代明白，凡说到是“信仰”上的“一个”，容易有“无赖”的玄学鬼来赠送徽号，叫他做上帝，叫他做神。"
segment_90ed5d0edb37d312,Segment,吴稚晖_001_b4c0e810_s0007,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0007,,"闹这个玄谎，也便定可免得丁先生的一“打”。

第一便要在这插说中交代明白，凡说到是“信仰”上的“一个”，容易有“无赖”的玄学鬼来赠送徽号，叫他做上帝，叫他做神。可以混同夹账，拉扯着三百年前的笛卡儿先生们，说道你所说的一个，便是无所不在的神，无所不在的上帝。那我要恭恭敬敬立起来，唱着喏摇头道，这未免太亵渎了。我说的一个，我自己固然就是他；便是毛厕里的石头也是他。说我便是上帝，便是神，已滑稽得可以了。并且说毛厕里的石头，亦是上帝，亦是神，不嫌太难堪吗？所以纵使我请我的玄学鬼，“无赖”一下，让一千步一万步，承认有个上帝，有个神。上帝神非即我，非即毛厕里的石头。不过有个我，便有个上帝神来鉴临了我；亵渎点又说有块毛厕里的石头，便又有个上帝神去鉴临了他；那就上帝神也已降尊得极咯。充其量，上帝神止是那“一个”里面的贵族。我与毛厕里的石头，是“一个”里面的落难者，沦于卑贱的罢了。上帝神之与我，之与毛厕里的石头，还是同屈于一个之下。上帝神决非便是那最后的一个。如此，既然上帝神不过一个的一分子，则我与毛厕里的石头，也忝为一个的一分子。肯承认上帝神独为贵族吗，我们自己肯永屈卑贱吗，这便定有问题发生的呀。这种凭空的推戴同一分子，来做我们的上帝神，止有让宗教家去贱卖。在我同毛厕里的石头皆受过科学神洗礼的玄学鬼，到底不肯太“无赖”，全把论理抹煞。所以在论理上还是不肯让步，完全否认着有什么上帝，有什么神。"
segment_01641a605e27cbb5,Segment,吴稚晖_001_b4c0e810_s0008,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008,,"止有让宗教家去贱卖。在我同毛厕里的石头皆受过科学神洗礼的玄学鬼，到底不肯太“无赖”，全把论理抹煞。所以在论理上还是不肯让步，完全否认着有什么上帝，有什么神。

或则另有蒙混着说道，上帝神是有超绝性的，超出于你所谓“一个”的。哈哈，这是“大摇大摆”的“无赖”玄学鬼常作口头禅，用来把人催眠的。可惜那无赖玄学鬼的伎俩，弄不出什么神通，能跳出“一个”的圈子之外。“一个”是包括了“没有世界”，换言之，便是已经包括了超绝。区区只有一点超绝性的上帝神，真正要叫何足道哉，何足道哉了。故尔，那种骇得煞人的显赫的名词，上帝呀，神呀，还是取销了好。否则惟有我吴稚晖毕竟还笑笑罢了。深恐毛厕里的石头，块块都出来争称上帝，争称神，那就上帝神的尊严，终要扫地的呀。

把以上得罪上帝神的插说，完全交代明白，意思就是说我以后说下去，倘然有些离奇得太好笑的名目，假设出来，决非大讲神话。止是要说得浅薄容易听懂，好让环着柴积，在日黄中的听众，听了像煞有介事罢了。

那我便劈头的假设着，我所谓一个，是一个活物。从他“一个”变成现象世界，精神世界，万有世界，没有世界，无论适用时间空间的，不适用时间空间的，顺理成章的，往来矛盾的，能直觉的，不能直觉的，恒河沙数的形形色色，有有无无，自然也通是活物。

又应急要的插说几句：有人问，笑话了！别底先不要问，请问既说没有，叫做“无”，如何还去装上“物”，更说“活”呢？"
