node_id,labels,name,node_type,article_id,segment_id,title,text
segment_598cac580e7b1350,Segment,梁启超_001_4a5e589a_s0003,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003,,"饮食都无一定公例可以支配了，天下有这种理吗？殊不知科学之职务不在绝对的普遍的证明衣裘衣葛之孰为合孰为不合，他却能证明某种体气的人在某种温度之下非衣裘或衣葛不可。君劢所列举种种问题，正复如此。若离却事实的基础，劈地凭空说君主绝对好，民主绝对好，自由贸易绝对好，保护贸易绝对好……当然是不可能。却是在某种社会结合之下宜于君主，在某种社会结合之下宜于民主，在某种经济状态之下宜自由贸易，在某种经济状态之下宜保护贸易……那么，论理上的说明自然是可能，而且要绝对的尊重。君劢于意云何？难道能并此而不承认吗？总之，凡属于物界生活之诸条件都是有对待的。有对待的自然一部或全部应为“物的法则”之所支配。我们对于这一类生活，总应该根据“当时此地”之事实，用极严密的科学方法，求出一种“比较合理”的生活。这是可能而且必要的。就这点论，在君说“人生观不能和科学分家”，我认为含有一部分真理。

君劢尊直觉尊自由意志，我原是赞成的，可惜他应用的范围太广泛而且有错误。他说：“……常有所观察也主张也希望也要求也，是之谓人生观。甲时之所以为善者，至乙时则又以为不善而求所以革之；乙时之所以为善者，至丙时又以为不善而求所以革之……”君劢所用“直觉”这两个字，到底是怎样的内容，我还没有十分清楚。照字面看来，总应该是超器官的一种作用。若我猜得不错，那么，他说的“有所观察而甲乙丙时或以为善或以为不善”，便纯然不是直觉的范围。"
segment_4f63b59ffb471a5f,Segment,梁启超_001_4a5e589a_s0004,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004,,"是怎样的内容，我还没有十分清楚。照字面看来，总应该是超器官的一种作用。若我猜得不错，那么，他说的“有所观察而甲乙丙时或以为善或以为不善”，便纯然不是直觉的范围。为什么“甲时以为善乙时以为不善”，因为“常有所观察”，因观察而以为不善，跟着生出主张、希望、要求。不观察便罢，观察离得了科学程序吗？“以为善不善”，正是理智产生之结果。一涉理智，当然不能逃科学的支配。若说到自由意志吗？他的适用，当然该有限制。我承认人类所以贵于万物者在有自由意志；又承认人类社会所以日进，全靠他们的自由意志。但自由意志之所以可贵，全在其能选择于善不善之间而自己作主以决从违。所以自由意志是要与理智相辅的。若像君劢全抹杀客观以谈自由意志，这种盲目的自由，恐怕没有什么价值了。（君劢清华讲演所列举人生观五项特征，第一项说人生观为主观的，以与客观的科学对立，这话毛病很大。我以为人生观最少也要主观和客观结合才能成立。）

然则我全部赞成在君的主张吗？又不然。在君过信科学万能，正和君劢之轻蔑科学同一错误。在君那篇文章，很像专制宗教家口吻，殊非科学者态度，这是我替在君可惜的地方，但亦无须一一指摘了。在君说：“我们有求人生观统一的义务。”又说：“用科学方法求出是非真伪，将来也许可以把人生观统一。”（他把医学的进步来做比喻。）我说人生观的统一，非惟不可能，而且不必要。非惟不必要，而且有害。"
segment_db0e56852e3427e9,Segment,梁启超_001_4a5e589a_s0005,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,"义务。”又说：“用科学方法求出是非真伪，将来也许可以把人生观统一。”（他把医学的进步来做比喻。）我说人生观的统一，非惟不可能，而且不必要。非惟不必要，而且有害。要把人生观统一，结果岂不是“别黑白而定一尊”，不许异己者跳梁反侧？除非中世的基督教徒才有这种谬见，似乎不应该出于科学家之口。至于用科学来统一人生观，我更不相信有这回事。别的且不说，在君说“世界上的玄学家一天没有死完，自然一天人生观不能统一”，我倒要问：万能的科学，有没有方法令世界上的玄学家死完？如其不能，即此已可见科学功能是该有限制了。闲话少叙，请归正文。

人类生活，固然离不了理智；但不能说理智包括尽人类生活的全内容。此外还有极重要一部分——或者可以说是生活的原动力，就是“情感”。情感表出来的方向很多。内中最少有两件的确确带有神秘性的，就是“爱”和“美”。“科学帝国”的版图和威权无论扩大到什么程度，这位“爱先生”和那位“美先生”依然永远保持他们那种“上不臣天子，下不友诸侯”的身分。请你科学家把“美”来分析研究罢，什么线，什么光，什么韵，什么调……任凭你说得如何文理密察，可有一点儿搔着痒处吗？至于“爱”那更“玄之又玄”了。假令有两位青年男女相约为“科学的恋爱”，岂不令人喷饭？又何止两性之爱呢？父子朋友……间至性，其中不可思议者何限？孝子割股疗亲，稍有常识的也该知道是无益。但他情急起来，完全计较不到这些。"
segment_cc0f26f7787ea637,Segment,梁启超_001_4a5e589a_s0006,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006,,"“科学的恋爱”，岂不令人喷饭？又何止两性之爱呢？父子朋友……间至性，其中不可思议者何限？孝子割股疗亲，稍有常识的也该知道是无益。但他情急起来，完全计较不到这些。程婴、杵臼代人抚孤，抚成了还要死。田横岛上五百人，死的半个也不剩。这等举动，若用理智解剖起来，都是很不合理的，却不能不说是极优的人生观之一种。推而上之，孔席不暖，墨突不黔，释迦割臂饲鹰，基督钉十字架替人赎罪。他们对于一切众生之爱，正与恋人之对于所欢同一性质，我们想用什么经验什么轨范去测算他的所以然之故，真是痴人说梦。又如随便一个人对于所信仰的宗教，对于所崇拜的人或主义，那种狂热情绪，旁观人看来，多半是不可解而且不可以理喻的。然而一部人类活历史，却十有九从这种神秘中创造出来。从这方面说，却用得着君劢所谓主观所谓直觉所谓综合而不可分析……等等话头。想用科学方法支配他，无论不可能，即能，也把人生弄成死的没有价值了。

我把我极粗浅极凡庸的意见总括起来，就是:

“人生关涉理智方面的事项，绝对要用科学方法来解决。关于情感方面的事项，绝对的超科学。”

我以为君劢和在君所说，都能各明一义。可惜排斥别方面太过，都弄出语病来。我还信他们不过是“语病”。他们本来的见解，也许和我没有什么大分别哩。

以上批评“人生观与科学”的话，暂此为止。改天还想讨论别的问题。

十二年五月二十三日在翠微山秘魔崖作"
segment_1d280f52a6471afa,Segment,梁启超_002_40d1afac_s0000,Segment,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000,,我看了梁先生这篇文章不由得想说几句，本来可以另撰一篇，只因文章太短，所以顾不到“狐尾续貂之讥”，而即附在于此。我所要说的只是关于科学的一点。梁先生的科学定义虽是修改丁先生的话而成，然在我看来，却比丁先生的原文圆满些。丁先生的原文是“科学的方法不外将世界的事实分起类来，求他们的秩序。等到分类秩序弄明白了，再想一句最简单明白话来概括这许多事实，这叫做科学公例。凡是事实都可以用科学方法研究，都可以变做科学”。这段话有两个要素：（一）凡对于经验的事实，分类以求其秩序，就是科学；（二）凡用科学方法的都是科学。我不是学科学的，本来不敢对于这个主张有所怀疑，并且明晓得科学以其方法为标准，本是皮尔逊一流的主张，丁先生原有所本。不过我的理性仍不能即此屈服。我以为“分类以求秩序”只是科学的一方面，若谓以此足以包括无余，实使我不信，试问心理学与数学是不是科学？如其是科学，是不是仅仅分类以求秩序？冯德的科学分类表把数学论理学列为方式科学。难道是对于方式来分类么？这是正面的例。还有反面的例，如植物学与动物学，宜可谓基于分类了，然而须知植物分类学与植物系统学只是植物学的一部分，不能对于植物分类，即已尽研究植物的能事。所以据我这个外行人看来，“分类以求秩序”这句话是不足以概括科学的性质。以科学的大忠臣的丁先生，其攻击玄学，未尝对于玄学下明切的定义，诚有可原，乃对于科学亦不能使我们满意，便不能不有些失望了。
segment_8458055981ba6e9a,Segment,梁启超_002_40d1afac_s0001,Segment,梁启超_002_40d1afac,梁启超_002_40d1afac_s0001,,"以求秩序”这句话是不足以概括科学的性质。以科学的大忠臣的丁先生，其攻击玄学，未尝对于玄学下明切的定义，诚有可原，乃对于科学亦不能使我们满意，便不能不有些失望了。至于说“凡用科学方法的都是科学”这句话我亦怀疑。因为科学果有一个唯一无二的方法，则始可说凡用这个方法的都是科学，可惜科学在今天，据我看来，还是各有各的方法。如心理学有观察实验内省三法，无论如何，不能排斥其二而仅留其一，使与物理学相等。至于法学的方法与化学的方法即不相同，决不能说法学的比较即是化学的解析。若说各种科学各有各的方法虽是事实，然而这些各别的方法都是二次的与派生的。另外还有原始的与根本的。但我想来想去，所谓根本的不外乎归纳、演绎等论理方法，果尔则“凡用科学方法的都是科学”可改为“凡用论理方法的都是科学”，岂不是失了意味么？所以我对于科学的性质不妨妄加说明如下。

据我所见，科学乃是对于杂乱无章的经验以求其中的“不变的关系”。这个即名为法式或法则（也许是暂定的）。如两个人加两个狗是四，而两个狗加两个鼠亦是四，都可用加号来表达。事实上经验的内容总是只有一次的。如我今天写字便与昨天写字不同。所以科学并不十分注重于内容，而注重于方式，即是关系，即是关系的定式。所以分类乃仍是初步，而不是最后的。至于得了这个“不变的关系”的定式便用一个简单明白的符号以表示之，但这却不是“概括这些许多事实”。"
segment_9744b998362b8429,Segment,梁启超_002_40d1afac_s0002,Segment,梁启超_002_40d1afac,梁启超_002_40d1afac_s0002,,"式，即是关系，即是关系的定式。所以分类乃仍是初步，而不是最后的。至于得了这个“不变的关系”的定式便用一个简单明白的符号以表示之，但这却不是“概括这些许多事实”。这个与其谓是科学方法，毋宁谓是科学的目的。科学以此目的，对于所取的对象可以各取各的方法。如天文学便不能离了望远镜，又如生物学中分出细胞学。可见以来的统一科学则关系科学的各有方法与分枝发展皆无妨碍。否则只是一个所谓科学方法（即分类与归纳等）高悬于上，决不能统一各科学。可见科学之所以为科学不在方法的相同，而在目的的一致。科学既各有方法，而普通所谓科学方法又不外乎论理，于是，我根据这个理由大胆宣告汉学家考据方法不能即算就是科学方法。我承认汉学家有点儿科学精神，但不能以一点的相同，即谓完全相同。本来考古学只是历史地理的一个分支，自有其地位。若把考古学的方法推广而用于其他地方，科学家即承认这个就是科学方法，似乎未免太自贬了。丁先生说爱因斯坦的相对论是科学，梁先生的历史研究法是科学，胡先生的《红楼梦考证》是科学，这话亦似乎犯了笼统的毛病罢。以上所说我未敢自信，所以不敢用专篇发表，特写在此处以求教于梁先生。

—— 转录《时事新报·学灯》——"
entity_6a403a92730b6c84,人物,梁启超,人物,,,,
entity_cecdc01556928a58,人物,丁文江,人物,,,,
entity_32517cfe84af2270,人物,张君劢,人物,,,,
